"UTM Source","UTM Medium","UTM Content","Beskrivelse"
"google","cpc","text-ad","Google Ads - Tekstannonse"
"google","cpc","responsive-ad","Google Ads - Responsiv søkeannonse"
"google","cpc","shopping-ad","Google Ads - Shopping annonse"
"google","paidsearch","text-ad","Google Ads - Tekstannonse søk"
"google","paidsearch","responsive-ad","Google Ads - Responsiv søkeannonse"
"google","organic","serp-result","Google - Organisk søkeresultat"
"facebook","social","post-image","Facebook - Organisk bilde-innlegg"
"facebook","social","post-video","Facebook - Organisk video-innlegg"
"facebook","social","post-carousel","Facebook - Organisk karusell-innlegg"
"facebook","cpc","single-image","Facebook - Enkelt bilde annonse"
"facebook","cpc","video-ad","Facebook - Video annonse"
"facebook","cpc","carousel-ad","Facebook - Karusell annonse"
"facebook","paid-social","feed-ad","Facebook - Feed annonse"
"facebook","paid-social","story-ad","Facebook - Stories annonse"
"facebook","paid-social","reel-ad","Facebook - Reels annonse"
"instagram","social","post-image","Instagram - Organisk bilde-innlegg"
"instagram","social","post-video","Instagram - Organisk video-innlegg"
"instagram","social","story-post","Instagram - Organisk story"
"instagram","cpc","feed-ad","Instagram - Feed annonse"
"instagram","cpc","story-ad","Instagram - Stories annonse"
"instagram","cpc","reel-ad","Instagram - Reels annonse"
"instagram","paid-social","carousel-ad","Instagram - Karusell annonse"
"instagram","paid-social","collection-ad","Instagram - Samling annonse"
"x","social","tweet-text","X - Organisk tekst tweet"
"x","social","tweet-image","X - Organisk bilde tweet"
"x","social","tweet-video","X - Organisk video tweet"
"x","cpc","promoted-tweet","X - Promoted tweet"
"x","cpc","video-ad","X - Video annonse"
"x","paid-social","carousel-ad","X - Karusell annonse"
"linkedin","social","post-text","LinkedIn - Organisk tekst-innlegg"
"linkedin","social","post-image","LinkedIn - Organisk bilde-innlegg"
"linkedin","social","post-video","LinkedIn - Organisk video-innlegg"
"linkedin","cpc","sponsored-content","LinkedIn - Sponsored content"
"linkedin","cpc","text-ad","LinkedIn - Tekstannonse"
"linkedin","cpc","video-ad","LinkedIn - Video annonse"
"linkedin","paid-social","carousel-ad","LinkedIn - Karusell annonse"
"linkedin","paid-social","single-image","LinkedIn - Enkelt bilde annonse"
"youtube","social","video-organic","YouTube - Organisk video"
"youtube","social","short-video","YouTube - YouTube Shorts"
"youtube","cpc","video-ad","YouTube - Video annonse"
"youtube","cpc","bumper-ad","YouTube - Bumper annonse (6 sek)"
"youtube","video","pre-roll","YouTube - Pre-roll annonse"
"youtube","video","mid-roll","YouTube - Mid-roll annonse"
"newsletter","email","header-cta","Nyhetsbrev - Header call-to-action"
"newsletter","email","footer-cta","Nyhetsbrev - Footer call-to-action"
"newsletter","email","inline-link","Nyhetsbrev - Inline tekst-lenke"
"newsletter","email","banner-image","Nyhetsbrev - Banner bilde"
"mailchimp","email","button-primary","Mailchimp - Primær knapp"
"mailchimp","email","button-secondary","Mailchimp - Sekundær knapp"
"mailchimp","email","text-link","Mailchimp - Tekst-lenke"
"mailchimp","email","hero-image","Mailchimp - Hero bilde"
"activecampaign","email","cta-button","ActiveCampaign - CTA knapp"
"activecampaign","email","product-image","ActiveCampaign - Produktbilde"
"activecampaign","email","personalized-link","ActiveCampaign - Personalisert lenke"
"email-signature","email","logo-link","E-post signatur - Logo lenke"
"email-signature","email","social-icon","E-post signatur - Sosial media ikon"
"email-signature","email","cta-banner","E-post signatur - CTA banner"
"microsoft","cpc","text-ad","Microsoft Ads - Tekstannonse"
"microsoft","cpc","shopping-ad","Microsoft Ads - Shopping annonse"
"microsoft","paidsearch","expanded-text","Microsoft Ads - Utvidet tekstannonse"
"display","banner","leaderboard-728x90","Display - Leaderboard banner"
"display","banner","rectangle-300x250","Display - Medium rectangle banner"
"display","banner","skyscraper-160x600","Display - Skyscraper banner"
"display","display","responsive-banner","Display - Responsiv banner"
"display","display","video-banner","Display - Video banner"
"affiliate","affiliate","text-link","Affiliate - Tekst-lenke"
"affiliate","affiliate","banner-ad","Affiliate - Banner annonse"
"affiliate","affiliate","product-review","Affiliate - Produktanmeldelse"
"affiliate","referral","coupon-code","Affiliate - Kupongkode"
"partners","referral","partner-link","Partner - Partner lenke"
"partners","referral","co-branded","Partner - Co-branded innhold"
"partners","affiliate","recommendation","Partner - Anbefaling"
